 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
3165,46.417,45.622,29.731,38.941,43.810,35.216,65.452,33.219,45.889,46.459,56.429,44.919,45.154,38.892,54.889,46.269,50.029,48.308,46.324,36.294,62.769,54.188,48.500,48.000,52.219,31.382,42.500,53.000,32.294,37.000,31.654,27.412,24.613,45.484,35.308,52.969,31.581,22.912,25.500,50.238,42.192,45.206,44.750,39.615,50.476,35.412,17.375,37.097,20.853,34.323
3166,44.333,45.595,29.808,39.353,42.810,35.757,66.548,36.250,48.028,47.243,53.619,45.892,45.192,35.703,56.472,46.577,49.353,51.538,47.588,37.441,64.962,53.406,47.450,47.583,52.062,31.147,43.375,53.794,33.235,36.676,30.577,26.500,26.129,44.290,38.538,51.250,30.935,20.882,25.500,50.143,43.231,45.853,42.625,38.962,47.190,36.588,16.938,36.774,21.735,32.968
3167,46.611,48.027,29.769,40.118,43.190,35.541,65.290,34.188,45.722,46.784,51.619,44.892,46.000,35.865,53.750,43.154,52.353,48.385,47.059,37.765,66.962,54.156,43.450,49.361,50.781,31.529,43.062,51.412,31.382,38.000,31.692,27.294,25.097,43.677,35.846,50.688,30.484,20.824,25.219,50.476,45.269,43.735,45.500,39.731,48.952,37.471,18.125,36.032,22.059,35.065
3168,44.944,44.946,30.192,45.235,45.905,34.838,58.968,35.312,47.083,46.297,53.905,43.973,44.846,37.432,52.944,45.000,51.324,48.923,50.824,36.912,64.462,51.031,46.600,46.500,53.688,30.794,42.375,50.794,31.471,37.618,29.962,25.294,25.323,43.839,36.654,51.500,31.581,22.235,24.500,52.857,45.077,43.471,43.938,39.308,46.667,35.824,18.312,38.161,21.206,32.742
3169,45.667,45.351,30.231,51.912,51.714,34.405,59.161,34.188,46.139,45.378,53.762,44.973,44.231,37.162,56.722,46.231,49.676,47.654,49.559,36.706,64.000,50.625,44.650,45.778,51.625,30.029,39.562,52.382,32.265,37.971,28.923,25.941,24.387,45.355,34.462,52.562,30.452,23.206,24.781,49.905,44.577,45.853,43.625,41.654,46.190,36.588,16.844,38.613,23.559,32.226
3170,45.361,47.351,29.038,53.559,51.571,37.243,59.742,33.812,48.611,47.216,52.143,46.459,44.846,36.162,54.278,47.692,51.882,48.731,48.853,37.618,61.192,52.656,42.250,47.500,50.562,29.971,38.625,50.882,33.676,37.853,30.231,26.647,24.226,46.258,34.462,51.344,31.839,23.059,25.094,51.238,43.192,44.794,43.438,39.962,48.905,36.676,18.156,37.806,19.324,33.677
3171,44.583,45.919,29.692,47.706,49.095,33.297,56.581,36.188,46.667,46.973,55.095,44.541,45.577,36.595,57.639,47.192,51.735,46.385,50.294,37.912,65.000,50.844,46.400,47.972,52.438,30.647,42.000,51.118,31.294,39.059,30.692,26.088,24.774,46.226,35.692,51.188,31.194,21.412,23.406,49.381,42.923,45.206,43.750,40.692,48.667,36.000,19.062,35.677,21.412,33.581
3172,45.722,44.946,30.000,46.441,46.286,34.595,62.839,34.688,44.694,47.378,53.476,44.000,43.885,36.757,54.639,46.462,50.735,47.962,51.118,38.235,63.500,50.594,45.300,45.167,53.000,28.941,42.812,50.500,31.529,37.765,29.885,27.324,25.484,44.968,34.885,53.031,30.548,20.382,26.312,51.286,43.769,45.735,44.000,39.462,46.619,35.265,18.062,33.774,21.618,32.226
3173,46.694,43.757,30.308,43.206,43.762,34.595,65.387,33.594,47.972,46.027,52.571,45.811,43.769,34.297,56.278,46.962,48.588,45.038,52.324,39.588,63.000,49.750,44.900,47.139,53.219,29.206,41.062,49.471,32.324,36.206,27.115,27.000,23.774,43.903,34.923,52.344,29.581,21.765,24.375,50.143,45.308,44.441,47.000,39.308,49.048,36.765,17.406,36.419,22.118,33.129
3174,45.944,44.595,28.692,42.471,44.333,34.811,66.903,34.094,48.250,46.649,53.381,43.973,43.731,37.324,55.917,47.346,48.471,46.692,50.559,39.147,66.038,51.969,46.450,48.306,51.906,28.265,44.375,50.559,31.471,39.324,28.654,27.588,25.000,43.806,35.538,51.719,31.774,21.382,25.938,51.286,42.538,44.500,44.688,40.192,48.762,34.735,16.938,36.516,20.471,33.065
3175,44.306,45.270,29.231,44.794,44.095,32.378,64.194,34.250,45.833,47.243,54.190,46.162,42.038,36.919,56.111,45.462,47.706,46.423,52.029,39.882,60.038,51.906,46.100,46.194,51.156,29.676,44.375,51.471,31.500,37.441,28.923,25.441,24.194,44.065,36.115,52.219,31.484,21.647,25.500,49.667,43.231,44.529,45.625,38.500,49.524,35.029,17.344,35.968,22.412,34.355
3176,46.250,47.270,28.269,48.971,48.381,33.703,70.097,35.562,46.667,46.243,54.143,47.757,45.538,37.081,54.944,46.423,49.618,46.154,52.265,44.000,62.038,51.062,44.750,45.972,52.531,30.088,44.938,51.382,30.676,38.147,29.308,25.676,25.161,45.258,35.346,50.438,32.065,21.941,23.938,51.333,38.769,45.882,46.500,39.308,44.190,34.118,17.812,37.774,21.000,33.581
3177,45.417,47.405,29.885,54.735,50.238,34.162,69.129,34.531,46.222,48.378,56.238,45.838,43.538,37.000,53.917,46.115,50.088,47.769,54.118,40.971,60.385,50.875,45.200,46.528,48.656,28.647,42.375,52.294,33.235,37.324,30.154,26.676,26.129,44.194,33.808,50.250,30.935,22.471,25.781,50.238,41.500,45.147,43.875,40.154,47.952,35.294,17.438,36.419,21.059,32.290
3178,45.222,44.324,28.808,63.088,55.619,33.703,71.968,32.844,45.917,47.838,54.952,47.135,45.346,37.189,54.278,47.000,51.412,48.385,53.235,43.382,62.115,50.375,43.250,44.806,51.188,30.000,43.375,50.618,32.500,39.206,28.962,25.529,25.871,43.774,35.462,50.438,32.226,21.735,24.688,51.905,43.577,45.765,43.125,39.808,45.810,36.324,17.656,35.419,22.294,32.935
3179,44.611,46.568,28.962,63.294,57.190,34.459,68.484,32.438,44.278,46.865,54.048,44.432,44.231,35.892,56.444,48.231,50.176,45.846,50.765,43.118,60.885,49.938,46.200,47.667,50.531,30.235,42.812,49.294,32.529,37.147,29.577,27.206,24.452,44.484,34.385,51.125,28.355,24.765,24.031,48.619,40.346,43.794,42.875,41.308,46.905,34.824,17.062,36.613,23.294,32.581
3180,44.806,44.811,29.038,55.265,49.857,33.622,64.355,33.969,45.611,46.162,54.524,43.757,43.731,35.189,55.111,47.846,47.824,44.577,49.765,44.706,61.538,49.250,45.050,47.472,52.656,30.147,42.750,51.824,33.235,37.676,26.808,25.912,25.161,44.032,34.000,51.875,32.355,22.029,25.156,47.952,44.500,44.118,43.750,39.077,47.286,34.735,16.750,35.129,22.000,32.935
3181,45.528,43.973,28.846,56.941,51.476,32.811,60.710,33.656,45.056,46.054,55.762,45.324,44.192,36.946,53.806,45.769,50.559,47.462,48.088,42.853,62.423,49.844,45.650,43.972,50.969,28.382,41.125,49.500,33.471,36.176,27.462,26.676,25.871,43.516,35.808,52.812,30.903,21.676,24.594,50.333,39.962,42.265,44.312,40.731,44.857,34.353,16.750,35.226,21.941,31.323
3182,46.056,46.027,29.038,67.441,57.286,35.000,60.581,32.938,46.722,47.351,51.095,42.973,44.462,35.162,53.833,45.654,48.324,46.846,49.000,41.353,62.654,50.219,48.550,47.056,51.750,28.794,43.062,50.559,33.059,34.147,29.231,28.000,24.258,44.548,35.308,52.094,31.065,23.206,23.031,51.286,42.615,43.912,44.500,40.038,48.476,35.353,18.031,36.355,22.647,32.452
3183,46.472,44.189,28.385,65.000,52.476,35.324,58.452,32.219,46.667,46.108,54.952,44.270,45.538,37.162,54.917,44.500,49.618,45.154,46.294,41.559,64.231,48.062,46.400,45.000,52.406,28.794,42.688,50.676,32.235,36.853,27.654,26.618,23.161,42.806,35.577,52.156,29.774,23.706,25.469,49.286,42.808,43.912,46.375,39.423,49.048,36.059,17.344,35.871,22.294,32.419
3184,45.750,45.297,29.269,66.382,58.143,33.270,55.806,32.844,44.056,44.973,53.000,46.324,45.000,35.351,55.556,45.500,48.500,42.962,48.824,40.618,62.115,51.875,47.800,46.694,51.062,29.912,41.188,48.971,33.206,37.029,28.192,26.235,23.968,43.065,34.269,54.250,30.806,23.559,23.469,50.429,40.000,43.118,43.812,39.231,46.333,33.382,18.062,34.452,22.971,33.645
3185,45.167,45.000,30.885,71.176,60.143,33.108,57.161,32.906,46.833,46.324,53.952,46.027,45.423,36.108,55.306,46.346,49.294,45.346,47.147,41.147,64.962,49.812,47.350,48.222,49.062,28.971,41.375,48.824,32.294,37.412,25.500,26.265,23.355,42.355,33.846,53.156,30.355,22.676,25.500,49.571,40.769,42.294,42.938,39.115,47.286,34.706,17.375,33.774,20.412,31.613
3186,46.778,45.054,28.885,67.588,58.429,35.054,55.774,31.812,43.333,46.676,58.333,42.135,43.808,34.865,54.583,45.231,48.000,47.115,45.706,42.265,60.654,49.812,46.800,48.917,49.938,27.824,40.188,49.824,32.676,37.529,29.731,26.824,25.355,42.935,35.231,51.031,30.742,24.147,25.969,47.333,42.769,43.382,44.500,38.962,47.190,33.824,17.031,34.194,22.000,32.194
3187,46.111,46.676,27.615,73.824,59.286,35.027,52.871,34.031,46.028,46.216,53.952,45.081,42.154,33.892,54.528,44.154,49.588,45.423,51.382,41.735,65.538,49.625,47.500,45.389,50.750,29.912,42.125,50.441,30.735,36.118,27.231,26.853,24.226,42.839,33.385,53.750,30.645,23.265,25.812,46.190,42.231,44.676,44.250,39.308,44.238,35.441,16.844,36.968,20.206,32.710
3188,46.722,43.486,29.231,65.412,53.524,33.919,55.097,34.562,45.694,47.162,51.048,45.297,42.731,38.892,55.722,44.346,48.912,45.500,50.206,41.618,61.923,50.781,45.150,46.500,47.531,27.265,41.125,48.324,33.059,36.706,29.346,27.559,24.000,44.419,34.769,53.688,32.161,22.941,24.969,50.429,41.231,43.324,46.000,40.000,47.619,34.353,16.406,35.097,21.618,31.290
